Code,Constituency,Latitude,Longitude,Postcodes,Active Postcodes,MP,Party
E14001307,Jarrow and Gateshead East,54.961399,-1.51056,2747,2200,Kate Osborne,Labour
E14001308,Keighley and Ilkley,53.8806,-1.90107,4705,3459,Robbie Moore,Conservative
E14001309,Kenilworth and Southam,52.2719,-1.48555,4166,3018,Sir Jeremy Wright,Conservative
E14001310,Kensington and Bayswater,51.504501,-0.191954,7009,3696,Joe Powell,Labour
E14001311,Kettering,52.406502,-0.737643,3377,2625,Rosie Wrighting,Labour
S14000110,Kilmarnock and Loudoun,55.601299,-4.44666,3911,3187,Lillian Jones,Labour
E14001312,Kingston and Surbiton,51.394798,-0.289863,4747,2484,Ed Davey,Liberal Democrat
E14001313,Kingston upon Hull East,53.763401,-0.307114,3628,2278,Karl Turner,Labour
E14001314,Kingston upon Hull North and Cottingham,53.770401,-0.370468,3297,2460,Dame Diana Johnson,Labour
E14001315,Kingston upon Hull West and Haltemprice,53.739799,-0.393811,4024,2604,Emma Hardy,Labour
E14001316,Kingswinford and South Staffordshire,52.529598,-2.19182,2937,2443,Mike Wood,Conservative
E14001317,Knowsley,53.450199,-2.85549,3349,2449,Anneliese Midgley,Labour
N05000009,Lagan Valley,54.4846,-6.09901,3002,2658,Sorcha Eastwood,Alliance
E14001318,Lancaster and Wyre,53.988499,-2.81319,3578,2733,Cat Smith,Labour
E14001319,Leeds Central and Headingley,53.812199,-1.56899,4907,2641,Alex Sobel,Labour
E14001320,Leeds East,53.808498,-1.45747,3768,2532,Richard Burgon,Labour
E14001321,Leeds North East,53.836201,-1.53451,3344,2184,Fabian Hamilton,Labour
E14001322,Leeds North West,53.868599,-1.66737,3422,2564,Katie White,Labour
E14001323,Leeds South,53.781799,-1.53469,4889,3022,Hilary Benn,Labour
E14001324,Leeds South West and Morley,53.754902,-1.59227,3443,2608,Mr Mark Sewards,Labour
E14001325,Leeds West and Pudsey,53.804001,-1.64276,3431,2599,Rachel Reeves,Labour
E14001326,Leicester East,52.649101,-1.09519,2521,1745,Shivani Raja,Conservative
E14001327,Leicester South,52.626598,-1.12395,4477,2195,Shockat Adam,Independent
E14001328,Leicester West,52.6395,-1.15702,2522,2125,Liz Kendall,Labour
E14001329,Leigh and Atherton,53.501999,-2.51773,3693,2747,Jo Platt,Labour
E14001330,Lewes,50.828602,0.097581,4706,3508,James MacCleary,Liberal Democrat
E14001331,Lewisham East,51.4394,-0.006493,2654,1756,Janet Daby,Labour
E14001332,Lewisham North,51.470299,-0.024481,3907,2036,Vicky Foxcroft,Labour
E14001333,Lewisham West and East Dulwich,51.442501,-0.056773,2955,1713,Ellie Reeves,Labour
E14001334,Leyton and Wanstead,51.571201,0.007934,3091,1694,Calvin Bailey,Labour
E14001335,Lichfield,52.704498,-1.85179,3701,2737,Dave Robertson,Labour
E14001336,Lincoln,53.223202,-0.549821,4260,2840,Hamish Falconer,Labour
E14001337,Liverpool Garston,53.370899,-2.87723,3200,2131,Maria Eagle,Labour
E14001338,Liverpool Riverside,53.407501,-2.97681,7421,3376,Kim Johnson,Labour
E14001339,Liverpool Walton,53.4548,-2.93633,2490,1921,Dan Carden,Labour
E14001340,Liverpool Wavertree,53.3937,-2.93217,2925,1925,Paula Barker,Labour
E14001341,Liverpool West Derby,53.422798,-2.89827,2307,1775,Ian Byrne,Labour
S14000095,Livingston,55.890598,-3.52653,2824,2197,Gregor Poynton,Labour
W07000098,Llanelli,51.715401,-4.17162,3197,2635,Dame Nia Griffith,Labour
S14000096,Lothian East,55.972301,-2.82661,3214,2852,Mr Douglas Alexander,Labour
E14001342,Loughborough,52.7686,-1.21723,3090,2021,Jeevun Sandher,Labour
E14001343,Louth and Horncastle,53.298302,-0.000352,4415,3533,Victoria Atkins,Conservative
E14001344,Lowestoft,52.470402,1.70065,3030,2478,Jess Asato,Labour
E14001345,Luton North,51.905399,-0.451087,2102,1517,Sarah Owen,Labour
E14001346,Luton South and South Bedfordshire,51.8797,-0.427097,3587,2069,Rachel Hopkins,Labour
E14001347,Macclesfield,53.275101,-2.12516,4134,2978,Tim Roca,Labour
E14001348,Maidenhead,51.4944,-0.735022,5177,3245,Mr Joshua Reynolds,Liberal Democrat
E14001349,Maidstone and Malling,51.277901,0.4908,3925,2729,Helen Grant,Conservative
E14001350,Makerfield,53.5182,-2.62211,2486,2198,Josh Simons,Labour
E14001351,Maldon,51.687401,0.656732,3943,2684,Sir John Whittingdale,Conservative
E14001352,Manchester Central,53.487999,-2.21925,9577,4336,Lucy Powell,Labour
E14001353,Manchester Rusholme,53.459099,-2.2311,3480,2366,Afzal Khan,Labour
E14001354,Manchester Withington,53.431801,-2.24564,4715,2130,Jeff Smith,Labour
E14001355,Mansfield,53.154598,-1.1837,3280,2543,Steve Yemm,Labour
E14001356,Melksham and Devizes,51.362099,-2.11424,4218,3257,Brian Mathew,Liberal Democrat
E14001357,Melton and Syston,52.750599,-0.961175,3443,2446,Edward Argar,Conservative
E14001358,Meriden and Solihull East,52.426102,-1.73627,2973,2241,Saqib Bhatti,Conservative
W07000099,Merthyr Tydfil and Aberdare,51.7281,-3.39842,3196,2632,Gerald Jones,Labour
W07000100,Mid and South Pembrokeshire,51.747101,-4.91983,4600,3822,Henry Tufnell,Labour
E14001359,Mid Bedfordshire,52.027199,-0.503639,2985,2552,Blake Stephenson,Conservative
E14001360,Mid Buckinghamshire,51.756199,-0.835349,4688,3057,Greg Smith,Conservative
E14001361,Mid Cheshire,53.223999,-2.51009,3717,2501,Andrew Cooper,Labour
E14001362,Mid Derbyshire,52.967602,-1.45348,3909,2014,Jonathan Davies,Labour
E14001363,Mid Dorset and North Poole,50.763901,-2.01208,3590,2651,Vikki Slade,Liberal Democrat
S14000097,Mid Dunbartonshire,55.930099,-4.24486,3869,2867,Susan Murray,Liberal Democrat
E14001364,Mid Leicestershire,52.6516,-1.19954,3332,2281,Mr Peter Bedford,Conservative
E14001365,Mid Norfolk,52.625099,0.939189,3739,3352,George Freeman,Conservative
E14001366,Mid Sussex,50.974899,-0.128486,4197,2801,Alison Bennett,Liberal Democrat
N05000010,Mid Ulster,54.694199,-6.67875,3005,2800,Mr Cathal Mallaghan,Sinn Féin
E14001367,Middlesbrough and Thornaby East,54.561798,-1.24241,4750,3216,Andy McDonald,Labour
E14001368,Middlesbrough South and East Cleveland,54.5392,-1.09405,2988,2366,Luke Myer,Labour
S14000045,Midlothian,55.866798,-3.10983,3495,3038,Kirsty McNeill,Labour
E14001369,Milton Keynes Central,52.031601,-0.728435,5259,3422,Emily Darlington,Labour
E14001370,Milton Keynes North,52.0704,-0.780329,4515,2745,Chris Curtis,Labour
E14001371,Mitcham and Morden,51.403,-0.175416,2547,1720,Dame Siobhain McDonagh,Labour
W07000101,Monmouthshire,51.716499,-2.81862,6310,3298,Catherine Fookes,Labour
W07000102,Montgomeryshire and Glyndwr,52.706001,-3.26018,4733,4213,Steve Witherden,Labour
S14000098,Moray West Nairn and Strathspey,57.556,-3.48301,5528,3401,Graham Leadbitter,Scottish National Party
E14001372,Morecambe and Lunesdale,54.1213,-2.77858,4283,3493,Lizzi Collinge,Labour
S14000099,Motherwell Wishaw and Carluke,55.774399,-3.92755,2878,2291,Pamela Nash,Labour
S14000027,Na h-Eileanan an Iar,57.976898,-6.70204,2022,977,Torcuil Crichton,Labour
W07000103,Neath and Swansea East,51.667198,-3.84287,3652,2503,Carolyn Harris,Labour
E14001373,New Forest East,50.873001,-1.47105,5762,2547,Sir Julian Lewis,Conservative
E14001374,New Forest West,50.7962,-1.66043,5008,2973,Sir Desmond Swayne,Conservative
E14001375,Newark,53.101002,-0.849369,4101,3416,Robert Jenrick,Conservative
E14001376,Newbury,51.417301,-1.3434,6798,3116,Mr Lee Dillon,Liberal Democrat
E14001377,Newcastle upon Tyne Central and West,54.9785,-1.6505,5366,3117,Chi Onwurah,Labour
E14001378,Newcastle upon Tyne East and Wallsend,54.986801,-1.55251,3233,2356,Mary Glindon,Labour
E14001379,Newcastle upon Tyne North,55.009602,-1.61221,3403,2266,Catherine McKinnell,Labour
E14001380,Newcastle-under-Lyme,53.0191,-2.24894,3064,2337,Adam Jogee,Labour
W07000104,Newport East,51.591801,-2.97597,7812,2566,Jessica Morden,Labour
W07000105,Newport West and Islwyn,51.617699,-3.09105,5894,2437,Ruth Jones,Labour
N05000011,Newry and Armagh,54.2416,-6.51797,3329,2951,Dáire Hughes,Sinn Féin
E14001381,Newton Abbot,50.545101,-3.55827,3973,2930,Martin Wrigley,Liberal Democrat
E14001382,Newton Aycliffe and Spennymoor,54.670898,-1.54538,3401,2749,Alan Strickland,Labour
E14001383,Normanton and Hemsworth,53.640301,-1.36269,3118,2766,Jon Trickett,Labour
N05000012,North Antrim,54.983398,-6.35924,3023,2722,Jim Allister,Traditional Unionist Voice
S14000048,North Ayrshire and Arran,55.692001,-4.7965,3586,3018,Irene Campbell,Labour
E14001384,North Bedfordshire,52.145302,-0.382309,3681,2891,Richard Fuller,Conservative
E14001385,North Cornwall,50.600601,-4.65982,4906,4129,Ben Maguire,Liberal Democrat
E14001386,North Cotswolds,51.874401,-1.97601,4466,3663,Sir Geoffrey Clifton-Brown,Conservative
E14001387,North Devon,51.092201,-4.02352,4691,3764,Ian Roome,Liberal Democrat
E14001388,North Dorset,50.9226,-2.1576,4365,3297,Simon Hoare,Conservative
N05000013,North Down,54.647701,-5.68037,3270,2380,Alex Easton,Independent
E14001389,North Durham,54.855099,-1.65006,3503,2827,Luke Akehurst,Labour
E14001390,North East Cambridgeshire,52.586899,0.079205,3735,2991,Steve Barclay,Conservative
E14001391,North East Derbyshire,53.2658,-1.41799,3893,2400,Louise Jones,Labour
S14000100,North East Fife,56.293499,-2.95316,3944,3190,Wendy Chamberlain,Liberal Democrat
E14001392,North East Hampshire,51.283199,-0.900021,5911,3193,Alex Brewer,Liberal Democrat
E14001393,North East Hertfordshire,51.967602,-0.110147,4625,3432,Chris Hinchliff,Labour
E14001394,North East Somerset and Hanham,51.3894,-2.51512,5604,2816,Dan Norris,Labour
E14001395,North Herefordshire,52.147301,-2.67308,4084,3616,Ellie Chowns,Green Party
E14001396,North Norfolk,52.856998,1.28426,4302,3758,Steff Aquarone,Liberal Democrat
E14001397,North Northumberland,55.395599,-1.77134,5333,4358,David Smith,Labour
E14001398,North Shropshire,52.880299,-2.8308,4723,3918,Helen Morgan,Liberal Democrat
E14001399,North Somerset,51.436901,-2.75629,5309,2864,Sadik Al-Hassan,Labour
E14001400,North Warwickshire and Bedworth,52.531502,-1.58716,3115,2496,Rachel Taylor,Labour
E14001401,North West Cambridgeshire,52.5355,-0.254837,3625,2515,Sam Carling,Labour
E14001402,North West Essex,51.903301,0.30812,4313,3304,Mrs Kemi Badenoch,Conservative
E14001403,North West Hampshire,51.278702,-1.30829,5834,3185,Kit Malthouse,Conservative
E14001404,North West Leicestershire,52.747101,-1.39575,4638,2482,Amanda Hack,Labour
E14001405,North West Norfolk,52.798698,0.458458,4275,3446,James Wild,Conservative
E14001406,Northampton North,52.252201,-0.885821,5031,2436,Lucy Rigby,Labour
E14001407,Northampton South,52.236198,-0.876802,3206,2028,Mike Reader,Labour
E14001408,Norwich North,52.6507,1.30817,3759,2524,Alice Macdonald,Labour
E14001409,Norwich South,52.6278,1.27713,3189,2572,Clive Lewis,Labour
E14001410,Nottingham East,52.962399,-1.14749,4669,2906,Nadia Whittome,Labour
E14001411,Nottingham North and Kimberley,52.9921,-1.19659,2393,2040,Alex Norris,Labour
E14001412,Nottingham South,52.943298,-1.18508,3770,2155,Lilian Greenwood,Labour
E14001413,Nuneaton,52.522701,-1.48233,2600,2011,Jodie Gosling,Labour
E14001414,Old Bexley and Sidcup,51.441601,0.110462,2649,1804,Mr Louie French,Conservative
E14001415,Oldham East and Saddleworth,53.550499,-2.07481,3934,2831,Debbie Abrahams,Labour
E14001416,Oldham West Chadderton and Royton,53.541599,-2.13067,3313,2502,Jim McMahon,Labour
S14000051,Orkney and Shetland,59.5709,-2.16727,1597,1392,Mr Alistair Carmichael,Liberal Democrat
E14001417,Orpington,51.376202,0.096566,3120,2134,Gareth Bacon,Conservative
E14001418,Ossett and Denby Dale,53.6394,-1.58657,3309,2734,Jade Botterill,Labour
E14001419,Oxford East,51.738602,-1.21565,3963,2386,Anneliese Dodds,Labour
E14001420,Oxford West and Abingdon,51.726299,-1.27629,5211,2920,Layla Moran,Liberal Democrat
S14000101,Paisley and Renfrewshire North,55.868999,-4.41366,2995,2230,Alison Taylor,Labour
S14000102,Paisley and Renfrewshire South,55.833599,-4.4706,3381,2540,Johanna Baxter,Labour
E14001421,Peckham,51.477901,-0.074884,3229,1991,Miatta Fahnbulleh,Labour
E14001422,Pendle and Clitheroe,53.8647,-2.23961,5175,3484,Jonathan Hinder,Labour
E14001423,Penistone and Stocksbridge,53.489799,-1.54748,3988,2267,Marie Tidball,Labour
E14001424,Penrith and Solway,54.739399,-3.1059,6164,4639,Markus Campbell-Savours,Labour
S14000103,Perth and Kinross-shire,56.3536,-3.48447,4543,3300,Pete Wishart,Scottish National Party
E14001425,Peterborough,52.598999,-0.25834,4898,2610,Andrew Pakes,Labour
E14001426,Plymouth Moor View,50.4105,-4.14604,2621,2161,Fred Thomas,Labour
E14001427,Plymouth Sutton and Devonport,50.3773,-4.14243,3643,2622,Luke Pollard,Labour
E14001428,Pontefract Castleford and Knottingley,53.706501,-1.32327,3357,2641,Yvette Cooper,Labour
W07000106,Pontypridd,51.583302,-3.36153,3256,2262,Alex Davies-Jones,Labour
E14001429,Poole,50.723598,-1.96346,3390,2317,Neil Duncan-Jordan,Labour
E14001430,Poplar and Limehouse,51.508701,-0.029123,4239,2511,Apsana Begum,Labour
E14001431,Portsmouth North,50.831402,-1.06961,2657,2043,Amanda Martin,Labour
E14001432,Portsmouth South,50.795101,-1.08229,3877,2376,Stephen Morgan,Labour
E14001433,Preston,53.766102,-2.70407,4861,2683,Sir Mark Hendrick,Labour
E14001434,Putney,51.455601,-0.216056,3086,2131,Fleur Anderson,Labour
E14001435,Queen's Park and Maida Vale,51.531898,-0.208554,4976,2182,Georgia Gould,Labour
E14001436,Rawmarsh and Conisbrough,53.48,-1.30016,3213,2498,John Healey,Labour
E14001437,Rayleigh and Wickford,51.601101,0.596297,3046,2160,Mr Mark Francois,Conservative
E14001438,Reading Central,51.458302,-0.976887,5825,2495,Matt Rodda,Labour
E14001439,Reading West and Mid Berkshire,51.4492,-1.08663,5091,2878,Olivia Bailey,Labour
E14001440,Redcar,54.5844,-1.09787,3576,2764,Anna Turley,Labour
E14001441,Redditch,52.287998,-1.94562,2984,2071,Mr Chris Bloore,Labour
E14001442,Reigate,51.265999,-0.196522,4806,2948,Rebecca Paul,Conservative
W07000107,Rhondda and Ogmore,51.626202,-3.4752,2657,2231,Sir Chris Bryant,Labour
E14001443,Ribble Valley,53.797401,-2.61144,3708,2806,Maya Ellis,Labour
E14001444,Richmond and Northallerton,54.386101,-1.59449,5406,4474,Rishi Sunak,Conservative
E14001445,Richmond Park,51.4561,-0.284285,4351,2566,Sarah Olney,Liberal Democrat
E14001446,Rochdale,53.620399,-2.13921,3999,2733,Paul Waugh,Labour
E14001447,Rochester and Strood,51.396999,0.516231,4078,2695,Lauren Edwards,Labour
E14001448,Romford,51.5797,0.180465,3472,2019,Andrew Rosindell,Conservative
E14001449,Romsey and Southampton North,51.018002,-1.47541,5379,3015,Caroline Nokes,Conservative
E14001450,Rossendale and Darwen,53.694199,-2.32514,4287,3305,Andy MacNae,Labour
E14001451,Rother Valley,53.378201,-1.25333,3478,2144,Jake Richards,Labour
E14001452,Rotherham,53.43,-1.35168,3740,2625,Sarah Champion,Labour
E14001453,Rugby,52.385399,-1.28019,3247,2603,John Slinger,Labour
E14001454,Ruislip Northwood and Pinner,51.592899,-0.405806,4169,2439,David Simmonds,Conservative
E14001455,Runcorn and Helsby,53.304901,-2.72445,3608,2802,Mike Amesbury,Labour
E14001456,Runnymede and Weybridge,51.377201,-0.480649,5597,3219,Dr Ben Spencer,Conservative
E14001457,Rushcliffe,52.899101,-1.10758,2642,2400,James Naish,Labour
S14000104,Rutherglen,55.814301,-4.15115,3175,2492,Michael Shanks,Labour
E14001458,Rutland and Stamford,52.671501,-0.63365,3566,2937,Alicia Kearns,Conservative
E14001459,Salford,53.492298,-2.28925,5710,2978,Rebecca Long Bailey,Labour
E14001460,Salisbury,51.064899,-1.83599,4645,3419,John Glen,Conservative
E14001461,Scarborough and Whitby,54.3437,-0.507877,4117,3226,Alison Hume,Labour
E14001462,Scunthorpe,53.5755,-0.643286,3327,2672,Nicholas Dakin,Labour
E14001463,Sefton Central,53.533199,-3.01277,3000,2314,Bill Esterson,Labour
E14001464,Selby,53.7756,-1.14343,4264,2970,Keir Mather,Labour
E14001465,Sevenoaks,51.314499,0.183299,4339,2955,Laura Trott,Conservative
E14001466,Sheffield Brightside and Hillsborough,53.412399,-1.47103,2865,2070,Gill Furniss,Labour
E14001467,Sheffield Central,53.379101,-1.47785,4171,2206,Abtisam Mohamed,Labour
E14001468,Sheffield Hallam,53.3657,-1.52419,2986,1920,Olivia Blake,Labour
E14001469,Sheffield Heeley,53.354,-1.45743,3005,2033,Louise Haigh,Labour
E14001470,Sheffield South East,53.363499,-1.38767,3982,2451,Mr Clive Betts,Labour
E14001471,Sherwood Forest,53.089802,-1.11549,2826,2512,Michelle Welsh,Labour
E14001472,Shipley,53.846199,-1.80067,3902,3055,Anna Dixon,Labour
E14001473,Shrewsbury,52.708,-2.77023,4548,3518,Julia Buckley,Labour
E14001474,Sittingbourne and Sheppey,51.376301,0.75004,3505,2595,Kevin McKenna,Labour
E14001475,Skipton and Ripon,54.0406,-1.91491,5698,4734,Sir Julian Smith,Conservative
E14001476,Sleaford and North Hykeham,53.1035,-0.47866,3143,2731,Dr Caroline Johnson,Conservative
E14001477,Slough,51.513901,-0.599808,4308,2423,Mr Tanmanjeet Singh Dhesi,Labour
E14001478,Smethwick,52.487,-1.98924,2971,2148,Gurinder Josan,Labour
E14001479,Solihull West and Shirley,52.410198,-1.80572,3160,2057,Dr Neil Shastri-Hurst,Conservative
N05000014,South Antrim,54.700401,-6.11155,3168,2614,Robin Swann,Ulster Unionist Party
E14001480,South Basildon and East Thurrock,51.539001,0.444252,2720,2166,James McMurdock,Reform UK
E14001481,South Cambridgeshire,52.1408,0.126516,4731,2598,Pippa Heylings,Liberal Democrat
E14001482,South Cotswolds,51.632702,-2.0103,4272,3359,Dr Roz Savage,Liberal Democrat
E14001483,South Derbyshire,52.814602,-1.52685,3403,2312,Samantha Niblett,Labour
E14001484,South Devon,50.367802,-3.67331,4774,3884,Caroline Voaden,Liberal Democrat
E14001485,South Dorset,50.617901,-2.33985,3820,2957,Lloyd Hatton,Labour
N05000015,South Down,54.226799,-6.01342,3087,2865,Chris Hazzard,Sinn Féin
E14001486,South East Cornwall,50.428799,-4.37888,4406,3634,Anna Gelderd,Labour
E14001487,South Holland and The Deepings,52.7784,-0.10213,3778,3080,Sir John Hayes,Conservative
E14001488,South Leicestershire,52.537899,-1.18873,3981,2557,Alberto Costa,Conservative
E14001489,South Norfolk,52.564602,1.26047,3362,2996,Ben Goldsborough,Labour
E14001490,South Northamptonshire,52.123901,-0.993362,3835,2723,Sarah Bool,Conservative
E14001491,South Ribble,53.698502,-2.72017,3771,2230,Paul Foster,Labour
E14001492,South Shields,54.978001,-1.42208,2784,2135,Mrs Emma Lewell-Buck,Labour
E14001493,South Shropshire,52.4925,-2.631,5102,4319,Stuart Anderson,Conservative
E14001494,South Suffolk,52.038898,0.882191,4600,3461,James Cartlidge,Conservative
E14001495,South West Devon,50.3839,-4.04821,4597,3106,Rebecca Smith,Conservative
E14001496,South West Hertfordshire,51.652,-0.446274,4850,2670,Mr Gagan Mohindra,Conservative
E14001497,South West Norfolk,52.546398,0.57501,3700,3136,Terry Jermy,Labour
E14001498,South West Wiltshire,51.255501,-2.19824,3780,2969,Dr Andrew Murrison,Conservative
E14001499,Southampton Itchen,50.908901,-1.37324,6502,2597,Darren Paffey,Labour
E14001500,Southampton Test,50.9217,-1.42379,6568,2600,Satvir Kaur,Labour
E14001501,Southend East and Rochford,51.548302,0.733712,3861,2270,Bayo Alaba,Labour
E14001502,Southend West and Leigh,51.552898,0.6735,2872,2001,David Burton-Sampson,Labour
E14001503,Southgate and Wood Green,51.616798,-0.1197,4180,2366,Bambos Charalambous,Labour
E14001504,Southport,53.647999,-2.96954,3393,2176,Patrick Hurley,Labour
E14001505,Spelthorne,51.422798,-0.457578,3769,2481,Lincoln Jopp,Conservative
E14001506,Spen Valley,53.7117,-1.69646,3410,2775,Kim Leadbeater,Labour
E14001507,St Albans,51.744499,-0.321578,4529,2939,Daisy Cooper,Liberal Democrat
E14001508,St Austell and Newquay,50.367699,-4.87458,4013,3092,Noah Law,Labour
E14001509,St Helens North,53.4669,-2.69232,3020,2473,David Baines,Labour
E14001510,St Helens South and Whiston,53.438202,-2.7465,3461,2590,Ms Marie Rimmer,Labour
E14001511,St Ives,50.120998,-5.45867,5239,4206,Andrew George,Liberal Democrat
E14001512,St Neots and Mid Cambridgeshire,52.243801,-0.098914,5014,2609,Ian Sollom,Liberal Democrat
E14001513,Stafford,52.820202,-2.16813,3560,2702,Leigh Ingham,Labour
E14001514,Staffordshire Moorlands,53.075401,-2.0417,3274,2753,Dame Karen Bradley,Conservative
E14001515,Stalybridge and Hyde,53.470402,-2.05449,3228,2462,Jonathan Reynolds,Labour
E14001516,Stevenage,51.897701,-0.192002,3465,2235,Kevin Bonavia,Labour
S14000105,Stirling and Strathallan,56.1469,-4.01771,4165,3236,Chris Kane,Labour
E14001517,Stockport,53.414101,-2.16657,4138,2490,Navendu Mishra,Labour
E14001518,Stockton North,54.584599,-1.31358,4373,2984,Chris McDonald,Labour
E14001519,Stockton West,54.533001,-1.37069,2698,2438,Matt Vickers,Conservative
E14001520,Stoke-on-Trent Central,53.012299,-2.17022,4491,3021,Gareth Snell,Labour
E14001521,Stoke-on-Trent North,53.063499,-2.20249,3100,2352,David Williams,Labour
E14001522,Stoke-on-Trent South,52.970001,-2.12574,2852,2386,Allison Gardner,Labour
E14001523,Stone Great Wyrley and Penkridge,52.758598,-2.09528,2851,2479,Sir Gavin Williamson,Conservative
E14001524,Stourbridge,52.4655,-2.13235,3315,2242,Cat Eccles,Labour
N05000016,Strangford,54.508499,-5.6876,3197,2594,Jim Shannon,Democratic Unionist Party
E14001525,Stratford and Bow,51.538601,-0.004088,3465,1991,Uma Kumaran,Labour
E14001526,Stratford-on-Avon,52.1931,-1.74775,4507,3471,Manuela Perteghella,Liberal Democrat
E14001527,Streatham and Croydon North,51.420898,-0.113651,3636,2004,Steve Reed,Labour
E14001528,Stretford and Urmston,53.451401,-2.3317,5076,2737,Andrew Western,Labour
E14001529,Stroud,51.721802,-2.28013,4239,3290,Dr Simon Opher,Labour
E14001530,Suffolk Coastal,52.107399,1.41801,5380,4093,Jenny Riddell-Carpenter,Labour
E14001531,Sunderland Central,54.907101,-1.39258,4174,2750,Lewis Atkinson,Labour
E14001532,Surrey Heath,51.3302,-0.711346,4438,2542,Al Pinkerton,Liberal Democrat
E14001533,Sussex Weald,50.983501,0.225226,4574,3415,Ms Nusrat Ghani,Conservative
E14001534,Sutton and Cheam,51.364399,-0.204896,3258,1957,Luke Taylor,Liberal Democrat
E14001535,Sutton Coldfield,52.5625,-1.8208,3749,2230,Mr Andrew Mitchell,Conservative
W07000108,Swansea West,51.634998,-3.95328,3241,2452,Torsten Bell,Labour
E14001536,Swindon North,51.5923,-1.78163,3425,2166,Will Stone,Labour
E14001537,Swindon South,51.556301,-1.78294,5307,2720,Heidi Alexander,Labour
E14001538,Tamworth,52.630001,-1.70355,2978,2269,Sarah Edwards,Labour
E14001539,Tatton,53.319199,-2.34751,5166,3645,Esther McVey,Conservative
E14001540,Taunton and Wellington,51.009499,-3.11409,4223,3115,Mr Gideon Amos,Liberal Democrat
E14001541,Telford,52.6675,-2.44976,4582,3393,Shaun Davies,Labour
E14001542,Tewkesbury,51.946098,-2.10776,3636,2830,Cameron Thomas,Liberal Democrat
E14001543,The Wrekin,52.725498,-2.45917,4097,3160,Mark Pritchard,Conservative
E14001544,Thirsk and Malton,54.201698,-0.981344,6188,4153,Kevin Hollinrake,Conservative
E14001545,Thornbury and Yate,51.5536,-2.46884,5741,2905,Claire Young,Liberal Democrat
E14001546,Thurrock,51.486698,0.305587,3478,2069,Jen Craft,Labour
E14001547,Tipton and Wednesbury,52.541302,-2.03576,2833,2216,Antonia Bance,Labour
E14001548,Tiverton and Minehead,51.043598,-3.40767,4822,4091,Rachel Gilmour,Liberal Democrat
E14001549,Tonbridge,51.228802,0.259875,4507,3141,Tom Tugendhat,Conservative
E14001550,Tooting,51.437302,-0.170723,3081,1692,Dr Rosena Allin-Khan,Labour
E14001551,Torbay,50.4617,-3.54695,4096,2748,Steve Darling,Liberal Democrat
W07000109,Torfaen,51.6759,-3.03592,4231,2576,Nick Thomas-Symonds,Labour
E14001552,Torridge and Tavistock,50.825298,-4.20338,4712,3957,Sir Geoffrey Cox,Conservative
E14001553,Tottenham,51.586399,-0.07998,3472,2043,Mr David Lammy,Labour
E14001554,Truro and Falmouth,50.2286,-5.06189,4790,3599,Jayne Kirkham,Labour
E14001555,Tunbridge Wells,51.135601,0.315006,4829,3429,Mike Martin,Liberal Democrat
E14001556,Twickenham,51.4361,-0.342228,4260,2349,Munira Wilson,Liberal Democrat
E14001557,Tynemouth,55.023899,-1.46278,3731,2531,Sir Alan Campbell,Labour
N05000017,Upper Bann,54.424801,-6.37609,3052,2568,Carla Lockhart,Democratic Unionist Party
E14001558,Uxbridge and South Ruislip,51.543098,-0.457874,3713,2338,Danny Beales,Labour
W07000110,Vale of Glamorgan,51.419701,-3.34391,4489,2184,Kanishka Narayan,Labour
E14001559,Vauxhall and Camberwell Green,51.482899,-0.109555,4190,2196,Florence Eshalomi,Labour
E14001560,Wakefield and Rothwell,53.6968,-1.49894,4031,2857,Simon Lightwood,Labour
E14001561,Wallasey,53.414398,-3.06487,5762,2412,Dame Angela Eagle,Labour
E14001562,Walsall and Bloxwich,52.592098,-1.98769,3477,2239,Valerie Vaz,Labour
E14001563,Walthamstow,51.585098,-0.020848,2943,1646,Stella Creasy,Labour
E14001564,Warrington North,53.418098,-2.56297,3193,2362,Charlotte Nichols,Labour
E14001565,Warrington South,53.384998,-2.6024,4582,2687,Sarah Hall,Labour
E14001566,Warwick and Leamington,52.285999,-1.54933,4434,2833,Matt Western,Labour
E14001567,Washington and Gateshead South,54.909,-1.5283,3229,2434,Mrs Sharon Hodgson,Labour
E14001568,Watford,51.662102,-0.403408,7231,2636,Matt Turmaine,Labour
E14001569,Waveney Valley,52.363602,1.22308,4768,3855,Adrian Ramsay,Green Party
E14001570,Weald of Kent,51.148899,0.644349,4788,3934,Katie Lam,Conservative
E14001571,Wellingborough and Rushden,52.3009,-0.652282,3739,2390,Gen Kitchen,Labour
E14001572,Wells and Mendip Hills,51.2659,-2.74929,5109,3689,Tessa Munt,Liberal Democrat
E14001573,Welwyn Hatfield,51.785301,-0.206571,4528,3045,Andrew Lewin,Labour
S14000111,West Aberdeenshire and Kincardine,57.059101,-2.4824,6455,3350,Andrew Bowie,Conservative
E14001574,West Bromwich,52.5177,-2.00257,3532,2405,Sarah Coombes,Labour
E14001575,West Dorset,50.780602,-2.60135,4971,3991,Edward Morello,Liberal Democrat
S14000106,West Dunbartonshire,55.941002,-4.49174,3189,2463,Douglas McAllister,Labour
E14001576,West Ham and Beckton,51.5186,0.030262,2955,1950,James Asser,Labour
E14001577,West Lancashire,53.566002,-2.83423,3241,2367,Ashley Dalton,Labour
E14001578,West Suffolk,52.243198,0.499305,4265,3324,Nick Timothy,Conservative
