Code,Constituency,Latitude,Longitude,Postcodes,Active Postcodes,MP,Party
E14001113,Bootle,53.468201,-2.99637,3692,2485,Peter Dowd,Labour
E14001114,Boston and Skegness,53.046501,0.094066,4668,3794,Richard Tice,Reform UK
E14001115,Bournemouth East,50.734299,-1.84435,3886,2402,Tom Hayes,Labour
E14001116,Bournemouth West,50.738098,-1.89598,4173,2509,Jessica Toale,Labour
E14001117,Bracknell,51.3936,-0.766318,5265,2150,Peter Swallow,Labour
E14001118,Bradford East,53.8027,-1.7399,4437,2697,Imran Hussain,Labour
E14001119,Bradford South,53.766102,-1.77301,3385,2858,Judith Cummins,Labour
E14001120,Bradford West,53.7985,-1.78439,4464,2734,Naz Shah,Labour
E14001121,Braintree,51.914501,0.557549,5049,3122,Mr James Cleverly,Conservative
W07000085,Brecon Radnor and Cwm Tawe,52.0079,-3.44935,4235,3588,David Chadwick,Liberal Democrat
E14001122,Brent East,51.555599,-0.243403,3251,2398,Dawn Butler,Labour
E14001123,Brent West,51.557499,-0.297126,3994,2165,Barry Gardiner,Labour
E14001124,Brentford and Isleworth,51.473499,-0.341213,4633,2301,Ruth Cadbury,Labour
E14001125,Brentwood and Ongar,51.647499,0.295891,4135,2859,Alex Burghart,Conservative
W07000086,Bridgend,51.509899,-3.59421,3053,2190,Chris Elmore,Labour
E14001126,Bridgwater,51.155499,-3.00083,3618,2907,Sir Ashley Fox,Conservative
E14001127,Bridlington and The Wolds,54.017502,-0.371437,5289,3227,Charlie Dewhirst,Conservative
E14001128,Brigg and Immingham,53.590302,-0.27426,3806,3045,Martin Vickers,Conservative
E14001129,Brighton Kemptown and Peacehaven,50.812599,-0.061767,3380,1886,Chris Ward,Labour
E14001130,Brighton Pavilion,50.833698,-0.13922,4388,1909,Siân Berry,Green Party
E14001131,Bristol Central,51.460098,-2.59944,4202,2664,Carla Denyer,Green Party
E14001132,Bristol East,51.452999,-2.56261,5420,2682,Kerry McCarthy,Labour
E14001133,Bristol North East,51.473598,-2.51941,3377,2249,Damien Egan,Labour
E14001134,Bristol North West,51.494301,-2.62851,3333,2615,Darren Jones,Labour
E14001135,Bristol South,51.426899,-2.59873,3042,2486,Karin Smyth,Labour
E14001136,Broadland and Fakenham,52.7267,1.21819,3845,3372,Jerome Mayhew,Conservative
E14001137,Bromley and Biggin Hill,51.388,0.023978,3752,2200,Peter Fortune,Conservative
E14001138,Bromsgrove,52.355301,-2.03005,3491,2871,Bradley Thomas,Conservative
E14001139,Broxbourne,51.728699,-0.028639,4189,2715,Lewis Cocking,Conservative
E14001140,Broxtowe,52.9501,-1.25022,3076,2222,Juliet Campbell,Labour
E14001141,Buckingham and Bletchley,51.989799,-0.824154,4533,3139,Callum Anderson,Labour
E14001142,Burnley,53.795399,-2.24825,3910,2757,Oliver Ryan,Labour
E14001143,Burton and Uttoxeter,52.839802,-1.7013,3470,2597,Jacob Collier,Labour
E14001144,Bury North,53.601002,-2.3141,3899,2711,Mr James Frith,Labour
E14001145,Bury South,53.541,-2.29113,5418,2625,Christian Wakeford,Labour
E14001146,Bury St Edmunds and Stowmarket,52.241501,0.811083,4275,3251,Peter Prinsley,Labour
W07000087,Caerfyrddin,51.893398,-4.16685,4833,4088,Ms Ann Davies,Plaid Cymru
W07000088,Caerphilly,51.613899,-3.21926,4712,2279,Chris Evans,Labour
S14000069,Caithness Sutherland and Easter Ross,57.947399,-4.07002,4007,3419,Jamie Stone,Liberal Democrat
E14001147,Calder Valley,53.709202,-1.9277,4834,3897,Josh Fenton-Glynn,Labour
E14001148,Camborne and Redruth,50.228699,-5.25453,4077,3317,Perran Moon,Labour
E14001149,Cambridge,52.2048,0.134057,5147,2576,Daniel Zeichner,Labour
E14001150,Cannock Chase,52.707401,-1.99405,4023,2241,Josh Newbury,Labour
E14001151,Canterbury,51.297501,1.07173,4411,3154,Rosie Duffield,Labour
W07000089,Cardiff East,51.506199,-3.14555,4852,2067,Jo Stevens,Labour
W07000090,Cardiff North,51.522598,-3.20277,4715,2056,Anna McMorrin,Labour
W07000091,Cardiff South and Penarth,51.463402,-3.18068,7495,2588,Stephen Doughty,Labour
W07000092,Cardiff West,51.496101,-3.24815,3754,2173,Mr Alex Barros-Curtis,Labour
E14001152,Carlisle,54.910301,-2.8892,4539,3394,Ms Julie Minns,Labour
E14001153,Carshalton and Wallington,51.364101,-0.15522,2830,1891,Bobby Dean,Liberal Democrat
E14001154,Castle Point,51.546398,0.581587,2870,2119,Rebecca Harris,Conservative
S14000109,Central Ayrshire,55.5695,-4.62695,3189,2578,Alan Gemmell,Labour
E14001155,Central Devon,50.716499,-3.74378,4822,4171,Mel Stride,Conservative
E14001156,Central Suffolk and North Ipswich,52.129601,1.20151,3934,3393,Patrick Spencer,Conservative
W07000093,Ceredigion Preseli,52.1744,-4.37065,5043,4258,Ben Lake,Plaid Cymru
E14001157,Chatham and Aylesford,51.343498,0.495768,2888,2162,Tristan Osborne,Labour
E14001158,Cheadle,53.375801,-2.18822,3351,2173,Mr Tom Morrison,Liberal Democrat
E14001159,Chelmsford,51.736801,0.481059,4003,2272,Marie Goldman,Liberal Democrat
E14001160,Chelsea and Fulham,51.482201,-0.189619,5515,2988,Ben Coleman,Labour
E14001161,Cheltenham,51.896702,-2.08356,5157,3363,Max Wilkinson,Liberal Democrat
E14001162,Chesham and Amersham,51.653301,-0.598378,4693,3038,Sarah Green,Liberal Democrat
E14001163,Chester North and Neston,53.230202,-2.94125,5233,2778,Samantha Dixon,Labour
E14001164,Chester South and Eddisbury,53.1366,-2.70275,3836,3317,Aphra Brandreth,Conservative
E14001165,Chesterfield,53.2421,-1.42812,3553,2630,Mr Toby Perkins,Labour
E14001166,Chichester,50.823101,-0.788944,5827,3691,Jess Brown-Fuller,Liberal Democrat
E14001167,Chingford and Woodford Green,51.615398,0.013013,3033,1805,Sir Iain Duncan Smith,Conservative
E14001168,Chippenham,51.472,-2.05253,4392,2964,Sarah Gibson,Liberal Democrat
E14001169,Chipping Barnet,51.6366,-0.184649,4602,2685,Dan Tomlinson,Labour
E14001170,Chorley,53.661098,-2.62994,3460,2474,Sir Lindsay Hoyle,Speaker
E14001171,Christchurch,50.771999,-1.81163,3458,2529,Sir Christopher Chope,Conservative
E14001172,Cities of London and Westminster,51.512699,-0.134479,35204,13120,Rachel Blake,Labour
E14001173,City of Durham,54.775501,-1.59302,3755,2716,Mary Kelly Foy,Labour
E14001174,Clacton,51.818901,1.16509,3858,3118,Nigel Farage,Reform UK
E14001175,Clapham and Brixton Hill,51.459702,-0.12781,4210,2165,Bell Ribeiro-Addy,Labour
W07000094,Clwyd East,53.198299,-3.25077,4044,3307,Becky Gittins,Labour
W07000095,Clwyd North,53.2859,-3.56096,4039,3066,Gill German,Labour
S14000070,Coatbridge and Bellshill,55.8503,-4.04161,2843,2353,Frank McNally,Labour
E14001176,Colchester,51.8908,0.903315,4187,2722,Pam Cox,Labour
E14001177,Colne Valley,53.602699,-1.81813,4165,2559,Paul Davies,Labour
E14001178,Congleton,53.151798,-2.30376,4183,2726,Mrs Sarah Russell,Labour
E14001179,Corby and East Northamptonshire,52.465199,-0.614125,3644,2874,Lee Barron,Labour
E14001180,Coventry East,52.4189,-1.47023,3005,2303,Mary Creagh,Labour
E14001181,Coventry North West,52.423,-1.54119,2066,1875,Taiwo Owatemi,Labour
E14001182,Coventry South,52.403599,-1.51467,4203,2150,Zarah Sultana,Labour
S14000071,Cowdenbeath and Kirkcaldy,56.093102,-3.24379,3107,2355,Melanie Ward,Labour
E14001183,Cramlington and Killingworth,55.0639,-1.5708,3406,2354,Emma Foody,Labour
E14001184,Crawley,51.118099,-0.183755,4461,2674,Peter Lamb,Labour
E14001185,Crewe and Nantwich,53.088299,-2.45173,4227,2720,Connor Naismith,Labour
E14001186,Croydon East,51.371601,-0.068248,3383,1778,Natasha Irons,Labour
E14001187,Croydon South,51.3321,-0.113536,4216,2160,Chris Philp,Conservative
E14001188,Croydon West,51.384399,-0.102462,4090,2107,Sarah Jones,Labour
S14000072,Cumbernauld and Kirkintilloch,55.944698,-4.04511,2732,2092,Katrina Murray,Labour
E14001189,Dagenham and Rainham,51.542702,0.167588,3068,1900,Margaret Mullane,Labour
E14001190,Darlington,54.531898,-1.55845,3847,2776,Lola McEvoy,Labour
E14001191,Dartford,51.439899,0.242674,3315,2233,Jim Dickson,Labour
E14001192,Daventry,52.2826,-1.05435,4320,3054,Stuart Andrew,Conservative
E14001193,Derby North,52.920502,-1.49299,4264,2223,Catherine Atkinson,Labour
E14001194,Derby South,52.899899,-1.46511,6027,2388,Baggy Shanker,Labour
E14001195,Derbyshire Dales,53.113499,-1.65025,4215,2770,John Whitby,Labour
E14001196,Dewsbury and Batley,53.693298,-1.63468,3487,2493,Iqbal Mohamed,Independent
E14001197,Didcot and Wantage,51.605202,-1.28943,4376,3218,Olly Glover,Liberal Democrat
E14001198,Doncaster Central,53.515202,-1.11517,4550,2916,Sally Jameson,Labour
E14001199,Doncaster East and the Isle of Axholme,53.537998,-0.955188,3104,2609,Lee Pitcher,Labour
E14001200,Doncaster North,53.559799,-1.17187,2876,2507,Ed Miliband,Labour
E14001201,Dorking and Horley,51.216,-0.289595,4311,3075,Chris Coghlan,Liberal Democrat
E14001202,Dover and Deal,51.175598,1.32187,4106,3255,Mike Tapp,Labour
E14001203,Droitwich and Evesham,52.158901,-2.0289,4233,2805,Nigel Huddleston,Conservative
E14001204,Dudley,52.5163,-2.10559,3017,2286,Sonia Kumar,Labour
E14001205,Dulwich and West Norwood,51.445702,-0.097132,2957,1913,Helen Hayes,Labour
S14000073,Dumfries and Galloway,54.967201,-4.11351,5246,4593,John Cooper,Conservative
S14000074,Dumfriesshire Clydesdale and Tweeddale,55.311001,-3.39874,4157,3573,David Mundell,Conservative
S14000075,Dundee Central,56.471199,-2.98834,4761,3312,Chris Law,Scottish National Party
S14000076,Dunfermline and Dollar,56.071301,-3.48069,3207,2391,Graeme Downie,Labour
E14001206,Dunstable and Leighton Buzzard,51.905499,-0.594021,4127,2082,Alex Mayer,Labour
W07000096,Dwyfor Meirionnydd,52.9174,-4.11257,5583,4882,Liz Saville Roberts,Plaid Cymru
E14001207,Ealing Central and Acton,51.511902,-0.27412,4306,2734,Dr Rupa Huq,Labour
E14001208,Ealing North,51.5341,-0.347475,4039,2219,James Murray,Labour
E14001209,Ealing Southall,51.508099,-0.346771,3896,1967,Deirdre Costigan,Labour
E14001210,Earley and Woodley,51.437,-0.941336,4158,2243,Yuan Yang,Labour
E14001211,Easington,54.781601,-1.35653,3266,2711,Grahame Morris,Labour
N05000005,East Antrim,54.801102,-5.88167,2699,2413,Sammy Wilson,Democratic Unionist Party
E14001212,East Grinstead and Uckfield,51.054901,0.003625,4510,3143,Mims Davies,Conservative
E14001213,East Ham,51.536201,0.052264,2335,1209,Sir Stephen Timms,Labour
E14001214,East Hampshire,51.062302,-0.970811,4238,3223,Damian Hinds,Conservative
S14000077,East Kilbride and Strathaven,55.747299,-4.16085,2927,2315,Joani Reid,Labour
N05000006,East Londonderry,55.0821,-6.78775,3151,2846,Mr Gregory Campbell,Democratic Unionist Party
S14000021,East Renfrewshire,55.787498,-4.33041,3201,2514,Blair McDougall,Labour
E14001215,East Surrey,51.256901,-0.058849,3702,2564,Claire Coutinho,Conservative
E14001216,East Thanet,51.361401,1.4078,4080,2876,Polly Billington,Labour
E14001217,East Wiltshire,51.325699,-1.7351,4186,3266,Danny Kruger,Conservative
E14001218,East Worthing and Shoreham,50.831699,-0.30528,4005,2617,Tom Rutland,Labour
E14001219,Eastbourne,50.7798,0.283549,4040,2859,Josh Babarinde,Liberal Democrat
E14001220,Eastleigh,50.9706,-1.35639,5494,2431,Liz Jarvis,Liberal Democrat
S14000078,Edinburgh East and Musselburgh,55.948002,-3.13644,3866,2869,Chris Murray,Labour
S14000079,Edinburgh North and Leith,55.964298,-3.20051,5509,2941,Tracy Gilbert,Labour
S14000080,Edinburgh South,55.921299,-3.1794,3258,2520,Ian Murray,Labour
S14000081,Edinburgh South West,55.922001,-3.26098,3466,2585,Dr Scott Arthur,Labour
S14000082,Edinburgh West,55.951698,-3.2856,3895,3014,Christine Jardine,Liberal Democrat
